epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.8424,0.61083,0.96839,1,0.09663,0.000330218,0.000330218,0.0673084
2,51.3371,0.11127,0.99667,1,0.01463,0.000663101,0.000663101,0.034308
3,74.5113,0.08733,0.97671,1,0.09389,0.000994182,0.000994182,0.00130571
4,95.9661,0.09859,0.99834,1,0.00737,0.000993906,0.000993906,0.000993906
5,121.208,0.0698,1,1,0.00327,0.000989183,0.000989183,0.000989183
6,143.851,0.06209,0.99667,1,0.01046,0.000983133,0.000983133,0.000983133
7,166.55,0.06118,0.99334,1,0.01605,0.000975773,0.000975773,0.000975773
8,189.03,0.07659,1,1,0.00257,0.000967122,0.000967122,0.000967122
9,212.45,0.04577,0.99834,1,0.00349,0.000957205,0.000957205,0.000957205
10,235.066,0.03871,1,1,0.00122,0.000946048,0.000946048,0.000946048
11,257.546,0.03923,0.99501,1,0.01117,0.000933683,0.000933683,0.000933683
12,281.112,0.02754,1,1,0.00017,0.000920142,0.000920142,0.000920142
13,303.353,0.03889,0.99834,1,0.00498,0.000905463,0.000905463,0.000905463
14,327.056,0.04829,0.99834,1,0.00535,0.000889687,0.000889687,0.000889687
15,348.125,0.04085,1,1,0.00028,0.000872857,0.000872857,0.000872857
16,372.314,0.04099,0.99667,1,0.00556,0.000855018,0.000855018,0.000855018
17,394.21,0.02645,1,1,0.00035,0.00083622,0.00083622,0.00083622
