epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,98.7854,0.91702,0.83982,0.99401,0.50372,0.000332384,0.000332384,0.067094
2,207.167,0.52796,0.87824,0.99601,0.34582,0.000663119,0.000663119,0.0340914
3,300.679,0.44148,0.8508,0.99551,0.45067,0.000983514,0.000983514,0.00107848
4,391.629,0.42813,0.89471,0.99701,0.34046,0.000965239,0.000965239,0.000965239
5,484.758,0.35372,0.90269,0.99501,0.29451,0.000938772,0.000938772,0.000938772
6,582.811,0.29933,0.93762,1,0.20469,0.000905463,0.000905463,0.000905463
7,677.158,0.25787,0.93263,0.999,0.19709,0.000865839,0.000865839,0.000865839
8,768.325,0.23168,0.94162,0.998,0.19872,0.000820525,0.000820525,0.000820525
9,860.728,0.20978,0.93613,0.9995,0.20042,0.000770234,0.000770234,0.000770234
10,953.683,0.18831,0.93812,0.998,0.19996,0.000715761,0.000715761,0.000715761
11,1046.16,0.17061,0.94611,0.998,0.17112,0.000657963,0.000657963,0.000657963
12,1139.03,0.15889,0.95808,0.99751,0.16355,0.000597754,0.000597754,0.000597754
13,1235.55,0.1395,0.9521,0.9995,0.16819,0.000536081,0.000536081,0.000536081
14,1330.18,0.11911,0.96008,0.999,0.15938,0.000473919,0.000473919,0.000473919
15,1426.72,0.10016,0.95509,0.999,0.16477,0.000412246,0.000412246,0.000412246
16,1523.93,0.09899,0.95958,1,0.12341,0.000352037,0.000352037,0.000352037
17,1618.97,0.08305,0.96307,1,0.13904,0.000294239,0.000294239,0.000294239
18,1713.79,0.0751,0.96607,1,0.14559,0.000239766,0.000239766,0.000239766
19,1808.29,0.06496,0.96457,1,0.13773,0.000189475,0.000189475,0.000189475
20,1902.73,0.06325,0.97106,1,0.13213,0.000144161,0.000144161,0.000144161
21,1998.72,0.05944,0.97056,1,0.126,0.000104537,0.000104537,0.000104537
22,2092.08,0.05626,0.97255,1,0.13051,7.12282e-05,7.12282e-05,7.12282e-05
23,2190.65,0.051,0.97206,1,0.12947,4.47606e-05,4.47606e-05,4.47606e-05
24,2285.45,0.05092,0.97206,1,0.12737,2.55513e-05,2.55513e-05,2.55513e-05
25,2379.67,0.04442,0.97056,1,0.12485,1.39032e-05,1.39032e-05,1.39032e-05
