epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,198.716,0.62913,0.83635,0.99398,0.45273,0.000332704,0.000332704,0.0670623
2,385.15,0.39516,0.86747,0.99297,0.38256,0.000664232,0.000664232,0.0340605
3,567.877,0.33727,0.90395,0.99531,0.28139,0.000988561,0.000988561,0.00105145
4,755.257,0.31635,0.91633,0.99799,0.25258,0.000975773,0.000975773,0.000975773
5,950.194,0.26911,0.92838,0.99665,0.20233,0.000957205,0.000957205,0.000957205
6,1145.6,0.2371,0.92436,0.99632,0.20301,0.000933683,0.000933683,0.000933683
7,1343.24,0.22622,0.93072,0.99732,0.18437,0.000905463,0.000905463,0.000905463
8,1536.68,0.21632,0.93842,0.99799,0.17818,0.000872857,0.000872857,0.000872857
9,1726.05,0.20241,0.9421,0.99799,0.16002,0.00083622,0.00083622,0.00083622
10,1918.79,0.1868,0.94478,0.99833,0.16231,0.000795954,0.000795954,0.000795954
11,2106.39,0.17254,0.93842,0.999,0.16536,0.0007525,0.0007525,0.0007525
12,2295.68,0.17668,0.95214,0.999,0.13614,0.000706335,0.000706335,0.000706335
13,2485.21,0.15927,0.94311,0.99699,0.1525,0.000657963,0.000657963,0.000657963
14,2671.48,0.13789,0.9498,0.99665,0.14159,0.000607916,0.000607916,0.000607916
15,2859.03,0.13826,0.95181,0.99699,0.12657,0.000556742,0.000556742,0.000556742
16,3046.57,0.12641,0.9595,0.99866,0.11723,0.000505,0.000505,0.000505
17,3241,0.11404,0.9585,0.99833,0.12644,0.000453258,0.000453258,0.000453258
18,3438.84,0.11177,0.95783,0.99866,0.11973,0.000402084,0.000402084,0.000402084
19,3635.34,0.10001,0.96118,0.999,0.11195,0.000352037,0.000352037,0.000352037
20,3835.43,0.09487,0.95817,0.99866,0.11912,0.000303665,0.000303665,0.000303665
21,4032.8,0.09273,0.96553,0.999,0.10271,0.0002575,0.0002575,0.0002575
22,4229.52,0.08421,0.96017,0.99866,0.11357,0.000214046,0.000214046,0.000214046
23,4427.66,0.07395,0.96386,0.999,0.10418,0.00017378,0.00017378,0.00017378
24,4623.33,0.07322,0.96386,0.99933,0.10446,0.000137143,0.000137143,0.000137143
25,4818.89,0.0668,0.96586,0.99967,0.10524,0.000104537,0.000104537,0.000104537
26,5015.43,0.06361,0.96821,0.999,0.10526,7.63174e-05,7.63174e-05,7.63174e-05
27,5211.63,0.06276,0.96586,0.99866,0.10763,5.2795e-05,5.2795e-05,5.2795e-05
28,5406.12,0.06102,0.96553,0.99933,0.10451,3.4227e-05,3.4227e-05,3.4227e-05
29,5600.29,0.06103,0.96653,0.99933,0.10219,2.08169e-05,2.08169e-05,2.08169e-05
30,5797.06,0.05893,0.96754,0.99933,0.10269,1.27117e-05,1.27117e-05,1.27117e-05
